Pair,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Win Rate,Average Daily Return,Turnover,Number of Trades
KDP-MCD,-0.19862664123230123,-0.10559794204231954,0.16753431965883236,-0.6303063292187514,-0.31135068357308926,0.312,-0.00038697781785178607,0.04,20
BDX-EVRG,0.19457310471178224,0.09374282542050838,0.09979289338512422,0.9393737593992069,-0.06772394322763708,0.196,0.000375265509884841,0.04,20
DHI-ITW,0.0846273780669673,0.041792924627350514,0.2264877812018471,0.1845261779932598,-0.30057461559003895,0.228,0.0002636687500351085,0.042,21
BDX-CMS,0.23167237945029062,0.11073276214902483,0.11152837729932014,0.9928662536875253,-0.11936835395390777,0.194,0.00044193073934895076,0.052,26
BDX-SRE,0.35062774099670246,0.16356319489545035,0.09172379933739744,1.7832143465165284,-0.06073405873073068,0.192,0.000617868983435506,0.044,22
BDX-LNT,0.38333427609962145,0.177679939922752,0.09938162673016705,1.787855016754497,-0.05717206626369531,0.194,0.0006685660650873909,0.052,26
BDX-SO,0.2456573113953544,0.11707127703468889,0.09105064650436845,1.2857819414722336,-0.05919126599225433,0.17,0.0004557312974247493,0.036,18
BDX-ETR,0.19834460558495337,0.09548185748390625,0.12339700929815453,0.7737777278961512,-0.11714469580120856,0.2,0.00039273296961781363,0.044,22
BKNG-MGM,-0.25343880955403464,-0.13697184042985822,0.19307738176635855,-0.7094142212659936,-0.3592609304119423,0.27,-0.0005101951365548532,0.03,15
CFG-MGM,-0.23955747207185862,-0.12892116014945842,0.24447191699572415,-0.5273454789153278,-0.4223254184375933,0.246,-0.00042809277429899805,0.03,15
