Rolling Window,Entry Threshold,Exit Threshold,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Win Rate,Turnover,Number of Trades
30,1.5,0.25,0.31876837051591544,0.1496481248819448,0.13592365118336627,1.1009719322508758,-0.14549177759677678,0.322,0.102,51
30,1.5,0.5,0.35354203497428927,0.16482789045610557,0.11201109224906342,1.4715318558772807,-0.08494595183605691,0.272,0.106,53
30,1.5,0.75,0.37064306222757226,0.1722220423874501,0.10732907663359208,1.6046168269516974,-0.08494595183605713,0.25,0.11,55
30,2.0,0.25,0.24976509593593654,0.11892637033521125,0.12100155144743699,0.9828499627698807,-0.1339976773260293,0.258,0.072,36
30,2.0,0.5,0.301343600965468,0.1419670113110043,0.096046457272118,1.4781077339353037,-0.0724335189164983,0.222,0.076,38
30,2.0,0.75,0.3146365016438333,0.1478313072746691,0.08913910755336814,1.658433782121518,-0.07243351891649774,0.194,0.076,38
30,2.5,0.25,0.07456930127856132,0.036912601320570504,0.06475413940918304,0.5700423425801221,-0.0607339860645808,0.096,0.02,10
30,2.5,0.5,0.05544950736413745,0.027572517721582646,0.05973545035655103,0.46157712977816096,-0.06073398606458058,0.076,0.02,10
30,2.5,0.75,0.08849879704549912,0.04366540652501305,0.051040112297826824,0.8555115684350135,-0.06073398606458058,0.062,0.02,10
60,1.5,0.25,0.22779530241279988,0.10896920806627586,0.1314861625319616,0.8287503868689428,-0.12110464928823272,0.286,0.054,27
60,1.5,0.5,0.20713688430821842,0.09952544993777956,0.12686503773106017,0.784498642949703,-0.1211046492882325,0.26,0.058,29
60,1.5,0.75,0.06704014166229766,0.03324449929422335,0.1210700298055877,0.2745890072679988,-0.1402397950262374,0.234,0.058,29
60,2.0,0.25,0.40425549340492695,0.1866232414725102,0.10006550179909449,1.865010799098386,-0.0607339860645808,0.218,0.044,22
60,2.0,0.5,0.35062823593337256,0.16356340979447248,0.09172373168047022,1.7832180047390978,-0.0607339860645808,0.192,0.044,22
60,2.0,0.75,0.2355928661585731,0.11251326420072205,0.0866852692256852,1.2979513728889003,-0.06073398606458069,0.172,0.044,22
60,2.5,0.25,0.253643762963935,0.12067521918732549,0.08438993154261357,1.429971762998638,-0.06073398606458058,0.156,0.028,14
60,2.5,0.5,0.23721020121835212,0.11324696574146298,0.07602171679585491,1.48966598643873,-0.06073398606458058,0.136,0.028,14
60,2.5,0.75,0.155928095237291,0.07576431296313624,0.07081223959797228,1.0699324494364073,-0.06073398606458047,0.124,0.028,14
90,1.5,0.25,0.13213900399337386,0.06454855653176916,0.14297652962455465,0.4514626050951768,-0.13137981519944242,0.28,0.036,18
90,1.5,0.5,0.09656987073741652,0.04755853535287802,0.13815783048723151,0.3442333683523885,-0.13621817195161212,0.258,0.036,18
90,1.5,0.75,0.12665898010368748,0.06194839100541838,0.1271648161996169,0.4871503994326145,-0.12354688074548237,0.212,0.046,23
90,2.0,0.25,0.3126191311611781,0.14694322346740862,0.10317297529765075,1.4242414066617939,-0.06073398606458036,0.194,0.03,15
90,2.0,0.5,0.2769903505745641,0.13114572437104255,0.10122300178162404,1.2956118872464684,-0.060733986064581025,0.186,0.03,15
90,2.0,0.75,0.2851091685191032,0.13476457904506867,0.08840940950253769,1.5243239356914877,-0.06073398606458069,0.144,0.036,18
90,2.5,0.25,0.24401730662411136,0.11632979638185947,0.09408919506052243,1.2363778466489257,-0.06073398606458058,0.174,0.022,11
90,2.5,0.5,0.22097500891443933,0.10586016554629052,0.09212460723853343,1.1490976050751818,-0.06073398606458025,0.168,0.022,11
90,2.5,0.75,0.19252720140149138,0.09279832380036734,0.07453876283271603,1.244967320005437,-0.06073398606458058,0.122,0.024,12
