stock1,stock2,coint_score,pvalue,correlation
VTRS,XEL,-6.021983147419941,1.4553142467962346e-06,-0.935300536927481
KDP,MCD,-5.954616100414221,2.0327554815085527e-06,0.9276410996585157
BDX,EVRG,-5.861285152098758,3.2142457690376574e-06,0.7280159766163087
DHI,ITW,-5.838068463237475,3.599142093370689e-06,0.9749130675803881
BDX,CMS,-5.824879776527308,3.837371711076485e-06,0.737335283842049
BDX,SRE,-5.772428132289632,4.94580049682952e-06,0.7163754187508968
BDX,LNT,-5.733608641316655,5.960465634892944e-06,0.7230850633332452
BDX,SO,-5.727669319485855,6.1325413916692586e-06,0.7051353854759668
BDX,ETR,-5.725654678297456,6.1919975023032046e-06,0.7195687196261078
AEE,VTRS,-5.6861953248836015,7.475819929231563e-06,-0.9246811675114431
BKNG,MGM,-5.683230161246463,7.582089910681544e-06,0.8891726349626582
VTRS,WEC,-5.669353496184635,8.099196432504741e-06,-0.9326715997739461
CFG,MGM,-5.605506302478472,1.0952698225127128e-05,0.9672665236297758
LNT,VTRS,-5.526512884665345,1.5847156862576177e-05,-0.9035076840161114
BDX,ES,-5.5023934061382525,1.7723324682817134e-05,0.6952089385532578
BDX,XEL,-5.502354674200288,1.7726503413981538e-05,0.6841736587202283
MDLZ,VTRS,-5.486656457811956,1.9061223773024266e-05,-0.9088533395297671
BKNG,TFC,-5.471307223040633,2.0459796364907417e-05,0.885119887152523
BDX,DUK,-5.469889645446967,2.059384559755345e-05,0.6802140764800034
BDX,PEP,-5.4657325291363295,2.099185697714621e-05,0.6646951786991805
BDX,VTRS,-5.461869673173346,2.13683413120891e-05,-0.5743603935068802
AON,WM,-5.453224021308043,2.223472565688106e-05,0.9788650994347979
BKNG,SYF,-5.432078427140444,2.4498909747350025e-05,0.863764237815951
BDX,TJX,-5.397400678354169,2.8701053409077405e-05,0.6564743117253936
BDX,MDLZ,-5.383184560472259,3.0617395361247276e-05,0.6722748633363161
AMAT,NXPI,-5.375634411291156,3.168467517895075e-05,0.9836756613481694
BDX,EIX,-5.370205098247945,3.247420609068037e-05,0.6291098962816722
BDX,PPL,-5.361202608655601,3.382526372256026e-05,0.6367599595633912
DHI,TXN,-5.349688177976021,3.563232010436567e-05,0.9639095201926295
BDX,JKHY,-5.3426599821629885,3.6780597760827724e-05,0.6871448792184849
GDDY,GLW,-5.3292265680159785,3.907520067651115e-05,0.5916805474006378
NDSN,ODFL,-5.319914599482827,4.074595955832086e-05,0.9771359029577446
MSI,WM,-5.316432217119123,4.1388249146665813e-05,0.9789573614695896
CMS,VTRS,-5.309709213745551,4.2655884235016734e-05,-0.9099164550553211
MA,WMT,-5.309506784019394,4.269462575446993e-05,0.9250021891652372
BDX,HRL,-5.291244950410757,4.633230201893264e-05,0.6550814751215658
BDX,HSY,-5.2828255189771,4.810803969024189e-05,0.6532491142744536
BDX,PG,-5.2638016598371244,5.236430348783781e-05,0.6753548808861717
BDX,LHX,-5.257102000561144,5.394759047148894e-05,0.6677081029075558
BDX,NI,-5.250798384226364,5.547917607539445e-05,0.6361470752637478
BDX,O,-5.23910211064116,5.843227479381866e-05,0.6491781352660235
BDX,KMB,-5.23748489601007,5.8852276068668344e-05,0.6326553687590643
BDX,V,-5.23736776920641,5.888280690990682e-05,0.6722025204113397
KDP,TSCO,-5.236635634169001,5.907399347647441e-05,0.9290614158199014
BDX,COST,-5.214571586918669,6.512333605875584e-05,0.6609540572784937
AWK,V,-5.209878541220045,6.648455268348459e-05,0.9607416538357657
BDX,FTNT,-5.2062335266385205,6.756056886522811e-05,0.6393387137933269
BDX,MRK,-5.206114230190004,6.759606608722484e-05,0.6600408894184034
APA,EOG,-5.205496388401026,6.778019413393639e-05,0.9552357823979537
SO,VTRS,-5.195280038441403,7.089546228166651e-05,-0.9203374390201596
BDX,KDP,-5.190222500926783,7.24879934926369e-05,0.6749043287539881
BDX,JNJ,-5.187770600842682,7.327233899002824e-05,0.637289336121235
BRO,COST,-5.182503853878182,7.498472216893237e-05,0.987664313308151
BDX,BRO,-5.181944293351136,7.516888965757265e-05,0.662177133750132
BDX,J,-5.172746834479086,7.825885686982841e-05,0.6427454297170471
BDX,EXC,-5.161500878743192,8.220253541297444e-05,0.6144055538855522
EL,NVR,-5.154104040758368,8.489941805115572e-05,0.9402480580821195
LEN,MCHP,-5.1539695386687,8.494923296763504e-05,0.9473868381114703
BDX,CCI,-5.14319269939277,8.903283198030373e-05,0.6423108162209997
BDX,STE,-5.14039586459213,9.012293848324942e-05,0.6909440056385836
BDX,MAA,-5.128730708459161,9.480888675839217e-05,0.6724124215195447
BDX,ROP,-5.1246075311698736,9.652026276284892e-05,0.6540157044448297
BKNG,NTRS,-5.111518810800566,0.00010215085493875623,0.8591645046756731
ACN,KKR,-5.1048410064155805,0.00010514322731453115,0.984855034713898
AWK,MA,-5.1041455417068375,0.00010545964442470504,0.9591175213879862
BDX,ORLY,-5.1016762686275134,0.00010659046476485552,0.6647978732089818
BDX,LLY,-5.099288384365083,0.0001076950300532696,0.6173197468289184
BDX,WRB,-5.099036683360555,0.00010781209488736734,0.6513630851000408
BKNG,GM,-5.097424662658321,0.00010856472625224157,0.8574689798436489
KKR,WSM,-5.094878496814661,0.00010976373687296376,0.9775778090691657
BDX,ED,-5.093384350979718,0.00011047322382882885,0.5815651729802893
FAST,TMO,-5.088968626425287,0.00011259571158478167,0.9841616626975896
BSX,O,-5.08101446566716,0.0001165176857692902,0.8581127235721918
BDX,CINF,-5.080454809985886,0.00011679849585703225,0.6005298851920104
